Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
2016,Rio,Aquatics,Diving,Aisen CHEN,CHN,Men,10M Platform,Gold
2016,Rio,Aquatics,Diving,German SANCHEZ,MEX,Men,10M Platform,Silver
2016,Rio,Aquatics,Diving,David BOUDIA,USA,Men,10M Platform,Bronze
2016,Rio,Aquatics,Diving,Qian REN,CHN,Women,10M Platform,Gold
2016,Rio,Aquatics,Diving,Yajie SI,CHN,Women,10M Platform,Silver
2016,Rio,Aquatics,Diving,Meaghan BENFEITO,CAN,Women,10M Platform,Bronze
2016,Rio,Aquatics,Diving,Yuan CAO,CHN,Men,3M Springboard,Gold
2016,Rio,Aquatics,Diving,Jack LAUGHER,GBR,Men,3M Springboard,Silver
2016,Rio,Aquatics,Diving,Patrick HAUSDING,GER,Men,3M Springboard,Bronze
2016,Rio,Aquatics,Diving,Tingmao SHI,CHN,Women,3M Springboard,Gold
2016,Rio,Aquatics,Diving,Zi HE,CHN,Women,3M Springboard,Silver
2016,Rio,Aquatics,Diving,Tania CAGNOTTO,ITA,Women,3M Springboard,Bronze
2016,Rio,Aquatics,Diving,Chen Aisen,CHN,Men,Synchronized 10M,Gold
2016,Rio,Aquatics,Diving,Lin Yue,CHN,Men,Synchronized 10M,Gold
2016,Rio,Aquatics,Diving,David Boudia,USA,Men,Synchronized 10M,Silver
2016,Rio,Aquatics,Diving,Steele Johnson,USA,Men,Synchronized 10M,Silver
2016,Rio,Aquatics,Diving,Tom Daley,GBR,Men,Synchronized 10M,Bronze
2016,Rio,Aquatics,Diving,Daniel Goodfellow,GBR,Men,Synchronized 10M,Bronze
2016,Rio,Aquatics,Diving,Chen Ruolin,CHN,Women,Synchronized 10M,Gold
2016,Rio,Aquatics,Diving,Liu Huixia,CHN,Women,Synchronized 10M,Gold
2016,Rio,Aquatics,Diving,Cheong Jun Hoong,MAS,Women,Synchronized 10M,Silver
2016,Rio,Aquatics,Diving,Pandelela Rinong,MAS,Women,Synchronized 10M,Silver
2016,Rio,Aquatics,Diving,Meaghan Benfeito,CAN,Women,Synchronized 10M,Bronze
