Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
2018,Peyongchang,Biathlon,Biathlon,Arnd Peiffer,GER,Men,10KM,Gold
2018,Peyongchang,Biathlon,Biathlon,Michal Krcmar,CZE,Men,10KM,Silver
2018,Peyongchang,Biathlon,Biathlon,Dominik Windisch,ITA,Men,10KM,Bronze
2018,Peyongchang,Biathlon,Biathlon,Martin Fourcade,FRA,Men,12.5Km Pursuit,Gold
2018,Peyongchang,Biathlon,Biathlon,Sebastian Samuelsson,SWE,Men,12.5Km Pursuit,Silver
2018,Peyongchang,Biathlon,Biathlon,Benedikt Doll,GER,Men,12.5Km Pursuit,Bronze
2018,Peyongchang,Biathlon,Biathlon,Johannes Thingnes Boe,NOR,Men,15KM Mass Start,Gold
2018,Peyongchang,Biathlon,Biathlon,Jakov Fak,SLO,Men,15KM Mass Start,Silver
2018,Peyongchang,Biathlon,Biathlon,Dominik Landertinger,AUT,Men,15KM Mass Start,Bronze
2018,Peyongchang,Biathlon,Biathlon,Johannes Thingnes Boe,NOR,Men,20KM,Gold
2018,Peyongchang,Biathlon,Biathlon,Jakov Fak,SLO,Men,20KM,Silver
2018,Peyongchang,Biathlon,Biathlon,Dominik Landertinger,AUT,Men,20KM,Bronze
2018,Peyongchang,Biathlon,Biathlon,Peppe FEMLING,SWE,Men,4X7.5KM Relay,Gold
2018,Peyongchang,Biathlon,Biathlon,Jesper NELIN,SWE,Men,4X7.5KM Relay,Gold
2018,Peyongchang,Biathlon,Biathlon,Sebastian SAMUELSSON,SWE,Men,4X7.5KM Relay,Gold
2018,Peyongchang,Biathlon,Biathlon,Fredrik LINDSTROEM,SWE,Men,4X7.5KM Relay,Gold
2018,Peyongchang,Biathlon,Biathlon,Lars Helge BIRKELAND,NOR,Men,4X7.5KM Relay,Silver
2018,Peyongchang,Biathlon,Biathlon,Tarjei BOE,NOR,Men,4X7.5KM Relay,Silver
2018,Peyongchang,Biathlon,Biathlon,Johannes Thingnes BOE,NOR,Men,4X7.5KM Relay,Silver
2018,Peyongchang,Biathlon,Biathlon,Emil Hegle SVENDSEN,NOR,Men,4X7.5KM Relay,Silver
2018,Peyongchang,Biathlon,Biathlon,Erik LESSER,GER,Men,4X7.5KM Relay,Bronze
2018,Peyongchang,Biathlon,Biathlon,Benedikt DOLL,GER,Men,4X7.5KM Relay,Bronze
2018,Peyongchang,Biathlon,Biathlon,Arnd PEIFFER,GER,Men,4X7.5KM Relay,Bronze
2018,Peyongchang,Biathlon,Biathlon,Simon SCHEMPP,GER,Men,4X7.5KM Relay,Bronze
2018,Peyongchang,Biathlon,Biathlon,Simon DESTHIEUX,FRA,Men,Relay Mix,Gold
2018,Peyongchang,Biathlon,Biathlon,Martin FOURCADE,FRA,Men,Relay Mix,Gold
2018,Peyongchang,Biathlon,Biathlon,Johannes Thingnes BOE,NOR,Men,Relay Mix,Silver
2018,Peyongchang,Biathlon,Biathlon,Emil Hegle SVENDSEN,NOR,Men,Relay Mix,Silver
2018,Peyongchang,Biathlon,Biathlon,Lukas HOFER,ITA,Men,Relay Mix,Bronze
2018,Peyongchang,Biathlon,Biathlon,Dominik WINDISCH,ITA,Men,Relay Mix,Bronze
2018,Peyongchang,Biathlon,Biathlon,Laura Dahlmeier,GER,Women,10KM Pursuit,Gold
2018,Peyongchang,Biathlon,Biathlon,Anastasiya Kuzmina,SVK,Women,10KM Pursuit,Silver
2018,Peyongchang,Biathlon,Biathlon,Anais Bescond,FRA,Women,10KM Pursuit,Bronze
2018,Peyongchang,Biathlon,Biathlon,Anastasiya Kuzmina,SVK,Women,12.5KM Mass Start,Gold
2018,Peyongchang,Biathlon,Biathlon,Darya Domracheva,BLR,Women,12.5KM Mass Start,Silver
2018,Peyongchang,Biathlon,Biathlon,Tiril Eckhoff,NOR,Women,12.5KM Mass Start,Bronze
2018,Peyongchang,Biathlon,Biathlon,Hanna Oeberg,SWE,Women,15KM,Gold
2018,Peyongchang,Biathlon,Biathlon,Anastasiya Kuzmina,SVK,Women,15KM,Silver
2018,Peyongchang,Biathlon,Biathlon,Laura Dahlmeier,GER,Women,15KM,Bronze
2018,Peyongchang,Biathlon,Biathlon,Nadezhda SKARDINO,BLR,Women,4X6KM Relay,Gold
2018,Peyongchang,Biathlon,Biathlon,Iryna KRYUKO,BLR,Women,4X6KM Relay,Gold
2018,Peyongchang,Biathlon,Biathlon,Dzinara ALIMBEKAVA,BLR,Women,4X6KM Relay,Gold
2018,Peyongchang,Biathlon,Biathlon,Darya DOMRACHEVA,BLR,Women,4X6KM Relay,Gold
2018,Peyongchang,Biathlon,Biathlon,Linn PERSSON,SWE,Women,4X6KM Relay,Silver
2018,Peyongchang,Biathlon,Biathlon,Mona BRORSSON,SWE,Women,4X6KM Relay,Silver
2018,Peyongchang,Biathlon,Biathlon,Anna MAGNUSSON,SWE,Women,4X6KM Relay,Silver
2018,Peyongchang,Biathlon,Biathlon,Hanna OEBERG,SWE,Women,4X6KM Relay,Silver
2018,Peyongchang,Biathlon,Biathlon,Anais CHEVALIER,FRA,Women,4X6KM Relay,Bronze
2018,Peyongchang,Biathlon,Biathlon,Marie DORIN HABERT,FRA,Women,4X6KM Relay,Bronze
2018,Peyongchang,Biathlon,Biathlon,Justine BRAISAZ,FRA,Women,4X6KM Relay,Bronze
2018,Peyongchang,Biathlon,Biathlon,Anais BESCOND,FRA,Women,4X6KM Relay,Bronze
2018,Peyongchang,Biathlon,Biathlon,Laura Dahlmeier,GER,Women,7.5KM,Gold
2018,Peyongchang,Biathlon,Biathlon,Marte Olsbu,NOR,Women,7.5KM,Silver
2018,Peyongchang,Biathlon,Biathlon,Veronika Vitkova,CZE,Women,7.5KM,Bronze
2018,Peyongchang,Biathlon,Biathlon,Marie DORIN HABERT,FRA,Women,Relay Mix,Gold
2018,Peyongchang,Biathlon,Biathlon,Anais BESCOND,FRA,Women,Relay Mix,Gold
2018,Peyongchang,Biathlon,Biathlon,Marte OLSBU,NOR,Women,Relay Mix,Silver
2018,Peyongchang,Biathlon,Biathlon,Tiril ECKHOFF,NOR,Women,Relay Mix,Silver
2018,Peyongchang,Biathlon,Biathlon,Lisa VITTOZZI,ITA,Women,Relay Mix,Bronze
2018,Peyongchang,Biathlon,Biathlon,Dorothea WIERER,ITA,Women,Relay Mix,Bronze
2018,Peyongchang,Bobsleigh,Bobsleigh,Francisco Friedrich,GER,Men,Four-Man,Gold
2018,Peyongchang,Bobsleigh,Bobsleigh,Candy BAUER,GER,Men,Four-Man,Gold
