City,Sport,Discipline,Athlete,Country,Gender,Event,Medal,Year
peyongchang,biathlon,biathlon,arnd peiffer,ger,men,10km,gold,2018
peyongchang,biathlon,biathlon,michal krcmar,cze,men,10km,silver,2018
peyongchang,biathlon,biathlon,dominik windisch,ita,men,10km,bronze,2018
peyongchang,biathlon,biathlon,martin fourcade,fra,men,12.5km pursuit,gold,2018
peyongchang,biathlon,biathlon,sebastian samuelsson,swe,men,12.5km pursuit,silver,2018
peyongchang,biathlon,biathlon,benedikt doll,ger,men,12.5km pursuit,bronze,2018
peyongchang,biathlon,biathlon,johannes thingnes boe,nor,men,15km mass start,gold,2018
peyongchang,biathlon,biathlon,jakov fak,slo,men,15km mass start,silver,2018
peyongchang,biathlon,biathlon,dominik landertinger,aut,men,15km mass start,bronze,2018
peyongchang,biathlon,biathlon,johannes thingnes boe,nor,men,20km,gold,2018
peyongchang,biathlon,biathlon,jakov fak,slo,men,20km,silver,2018
peyongchang,biathlon,biathlon,dominik landertinger,aut,men,20km,bronze,2018
peyongchang,biathlon,biathlon,peppe femling,swe,men,4x7.5km relay,gold,2018
peyongchang,biathlon,biathlon,jesper nelin,swe,men,4x7.5km relay,gold,2018
peyongchang,biathlon,biathlon,sebastian samuelsson,swe,men,4x7.5km relay,gold,2018
peyongchang,biathlon,biathlon,fredrik lindstroem,swe,men,4x7.5km relay,gold,2018
peyongchang,biathlon,biathlon,lars helge birkeland,nor,men,4x7.5km relay,silver,2018
peyongchang,biathlon,biathlon,tarjei boe,nor,men,4x7.5km relay,silver,2018
peyongchang,biathlon,biathlon,johannes thingnes boe,nor,men,4x7.5km relay,silver,2018
peyongchang,biathlon,biathlon,emil hegle svendsen,nor,men,4x7.5km relay,silver,2018
peyongchang,biathlon,biathlon,erik lesser,ger,men,4x7.5km relay,bronze,2018
peyongchang,biathlon,biathlon,benedikt doll,ger,men,4x7.5km relay,bronze,2018
